PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
77582,Joe Meriweather,1953-10-26,meriwjo01,Joe Meriweather,1953-10-26
77583,Porter Meriwether,1940-03-16,meriwpo01,Porter Meriwether,1940-03-16
77584,Tom Meschery,1938-10-26,meschto01,Tom Meschery,1938-10-26
77586,Dave Meyers,1953-04-21,meyerda01,Dave Meyers,1953-04-21
77587,Stan Miasek,1923-09-19,miasest01,Stan Miasek,1923-09-19
77588,Larry Micheaux,1960-03-24,michela01,Larry Micheaux,1960-03-24
77589,Zigmund Mihalik,1916-09-22,mihalre01,Red Mihalik,
77590,Ed Mikan,1925-10-20,mikaned01,Ed Mikan,1925-10-20
77591,Larry Mikan,1948-04-08,mikanla01,Larry Mikan,1948-04-08
77593,Vern Mikkelsen,1928-10-21,mikkeve01,Vern Mikkelsen,1928-10-21
77594,Al Miksis,1928-02-02,miksial01,Al Miksis,1928-02-02
77596,Eddie Miles,1940-07-05,milesed01,Eddie Miles,1940-07-05
77598,Nat Militzok,1923-05-03,militna01,Nat Militzok,
77599,Eddie Miller,1931-06-18,milleed01,Eddie Miller,1931-06-18
77600,Harry Miller,1923-07-28,milleha01,Harry Miller,
77601,Jay Miller,1943-07-19,milleja01,Jay Miller,1943-07-19
77602,Dick Miller,1958-04-26,milledi01,Dick Miller,1958-04-26
77603,Bob Miller,1956-07-09,millebo01,Bob Miller,1956-07-09
77604,Walt Miller,1915-07-30,millewa01,Walt Miller,
77605,Bill Miller,1924-11-24,millebi01,Bill Miller,
77606,John Mills,1919-09-07,millsjo01,John Mills,
77609,Dirk Minniefield,1961-01-17,minnidi01,Dirk Minniefield,1961-01-17
77610,Dave Minor,1922-02-23,minorda01,Dave Minor,1922-02-23
77612,Mark Minor,1950-05-14,minorma01,Mark Minor,1950-05-14
77613,Wat Misaka,1923-12-21,misakwa01,Wat Misaka,
77614,Todd Mitchell,1966-07-26,mitchto01,Todd Mitchell,1966-07-26
77615,Mike Mitchell,1956-01-01,mitchmi01,Mike Mitchell,1956-01-01
77616,Murray Mitchell,1923-03-19,mitchmu01,Murray Mitchell,1923-03-19
77618,Steve Mix,1947-12-30,mixst01,Steve Mix,1947-12-30
77619,Bill Mlkvy,1931-01-19,mlkvybi01,Bill Mlkvy,1931-01-19
77621,Larry Moffett,1954-11-05,moffela01,Larry Moffett,1954-11-05
77622,Leo Mogus,1921-04-13,mogusle01,Leo Mogus,1921-04-13
77623,Paul Mokeski,1957-01-03,mokespa01,Paul Mokeski,1957-01-03
77624,Jack Molinas,1931-10-31,molinja01,Jack Molinas,1931-10-31
77625,Wayne Molis,1943-04-17,moliswa01,Wayne Molis,1943-04-17
77626,Sidney Moncrief,1957-09-21,moncrsi01,Sidney Moncrief,1957-09-21
77627,Eric Money,1955-02-06,moneyer01,Eric Money,1955-02-06
77628,Rodney Monroe,1968-04-16,monroro01,Rodney Monroe,1968-04-16
77630,Howie Montgomery,1940-08-22,montgho01,Howie Montgomery,1940-08-22
77631,Jim Mooney,1930-07-08,mooneji01,Jim Mooney,1930-07-08
77632,Andre Moore,1964-07-02,moorean01,Andre Moore,1964-07-02
77633,Johnny Moore,1958-03-03,moorejo01,Johnny Moore,1958-03-03
77634,Jackie Moore,1932-09-24,mooreja01,Jackie Moore,1932-09-24
77635,Lowes Moore,1957-05-05,moorelo01,Lowes Moore,1957-05-05
77636,Otto Moore,1946-08-27,mooreot01,Otto Moore,1946-08-27
77637,Ron Moore,1962-01-16,moorero01,Ron Moore,1962-01-16
77639,Jackie Moreland,1938-03-11,morelja01,Jackie Moreland,1938-03-11
77640,Guy Morgan,1960-08-23,morgagu01,Guy Morgan,1960-08-23
77641,Rex Morgan,1948-10-27,morgare01,Rex Morgan,1948-10-27
77642,Elmo Morgenthaler,1922-08-03,morgeel01,Elmore Morgenthaler,
77644,Darren Morningstar,1969-04-22,mornida01,Darren Morningstar,1969-04-22
77646,Max Morris,1925-03-14,morrima01,Max Morris,1925-03-14
77647,Isaiah Morris,1969-04-02,morriis01,Isaiah Morris,1969-04-02
77648,Dwight Morrison,1932-04-26,morrire01,Red Morrison,1932-04-26
77649,Mike Morrison,1967-08-16,morrimi01,Mike Morrison,1967-08-16
77652,Richard Morton,1966-02-02,mortori01,Richard Morton,1966-02-02
77653,Glenn Mosley,1955-12-26,moslegl01,Glenn Mosley,1955-12-26
77654,Perry Moss,1958-11-11,mosspe01,Perry Moss,1958-11-11
77657,Chuck Mrazovich,1924-02-26,mrazoch01,Chuck Mrazovich,1924-02-26
77658,Erwin Mueller,1944-03-12,mueller01,Erwin Mueller,1944-03-12
77659,Joe Mullaney,1924-11-17,mullajo01,Joe Mullaney,1924-11-17
77660,Bob Mullens,1922-11-01,mullebo01,Bob Mullens,
77662,Jeff Mullins,1942-03-18,mullije01,Jeff Mullins,1942-03-18
77664,Chris Munk,1967-08-05,munkch01,Chris Munk,1967-08-05
77665,George Munroe,1922-01-05,munroge01,George Munroe,
77668,Allen Murphy,1952-07-15,murphal01,Allen Murphy,1952-07-15
77669,Calvin Murphy,1948-05-09,murphca01,Calvin Murphy,1948-05-09
77670,Jay Murphy,1962-06-26,murphja01,Jay Murphy,1962-06-26
77671,John Murphy,1924-09-13,murphjo01,John Murphy,
77672,Dick Murphy,1921-03-10,murphdi01,Dick Murphy,
77673,Ronnie Murphy,1964-07-29,murphro01,Ronnie Murphy,1964-07-29
77674,Tod Murphy,1963-12-24,murphto01,Tod Murphy,1963-12-24
77675,Ken Murray,1928-04-20,murrake01,Ken Murray,1928-04-20
77676,Dorie Murrey,1943-09-07,murredo01,Dorie Murrey,1943-09-07
77677,Angelo Musi,1918-07-25,musian01,Angelo Musi,
77681,Bob Naber,1929-09-03,naberbo01,Bob Naber,1929-09-03
77682,Boris Nachamkin,1933-12-06,nachabo01,Boris Nachamkin,1933-12-06
77683,Jerry Nagel,1928-05-18,nagelje01,Jerry Nagel,1928-05-18
77684,Fred Nagy,1924-01-03,nagyfr01,Fritz Nagy,
77685,Larry Nance,1959-02-12,nancela01,Larry Nance,1959-02-12
77686,Paul Napolitano,1923-02-03,napolpa01,Paul Napolitano,
77687,Charles Nash,1942-07-24,nashco01,Cotton Nash,1942-07-24
77688,Bob Nash,1950-08-24,nashbo01,Bob Nash,1950-08-24
77689,Swen Nater,1950-01-14,natersw01,Swen Nater,1950-01-14
77690,Howard Nathan,1972-01-21,nathaho01,Howard Nathan,1972-01-21
77691,Calvin Natt,1957-01-08,nattca01,Calvin Natt,1957-01-08
77692,Kenny Natt,1958-10-05,nattke01,Kenny Natt,1958-10-05
77693,Willie Naulls,1934-10-07,naullwi01,Willie Naulls,1934-10-07
77694,Craig Neal,1964-02-16,nealcr01,Craig Neal,1964-02-16
77695,Jim Neal,1930-05-21,nealji01,Jim Neal,1930-05-21
77696,Lloyd Neal,1950-12-10,nealll01,Lloyd Neal,1950-12-10
77697,Ed Nealy,1960-02-19,nealyed01,Ed Nealy,1960-02-19
77698,Al Negratti,1921-06-12,negraal01,Al Negratti,
77699,Barry Nelson,1949-09-19,nelsoba01,Barry Nelson,1949-09-19
77700,Don Nelson,1940-05-15,nelsodo01,Don Nelson,1940-05-15
77701,Louie Nelson,1951-05-28,nelsolo01,Louie Nelson,1951-05-28
77704,Martin Nessley,1965-02-16,nesslma01,Martin Nessley,1965-02-16
77705,Johnny Neumann,1951-09-11,neumajo01,Johnny Neumann,1951-09-11
77706,Paul Neumann,1938-01-30,neumapa01,Paul Neumann,1938-01-30
77707,Chuck Nevitt,1959-06-13,nevitch01,Chuck Nevitt,1959-06-13
77710,Mike Newlin,1949-01-02,newlimi01,Mike Newlin,1949-01-02
77712,Dave Newmark,1946-09-11,newmada01,Dave Newmark,1946-09-11
77713,Jack Nichols,1926-04-09,nichoja01,Jack Nichols,1926-04-09
77715,Carl Nicks,1958-10-06,nicksca01,Carl Nicks,1958-10-06
77716,Rich Niemann,1946-07-02,niemari01,Rich Niemann,1946-07-02
77717,John Niemiera,1921-05-26,niemiri01,Richie Niemiera,1921-05-26
77718,Mike Niles,1955-03-31,nilesmi01,Mike Niles,1955-03-31
77719,Kurt Nimphius,1958-03-13,nimphku01,Kurt Nimphius,1958-03-13
77720,Dyron Nix,1967-02-11,nixdy01,Dyron Nix,1967-02-11
77721,Norm Nixon,1955-10-11,nixonno01,Norm Nixon,1955-10-11
77722,Chuck Noble,1931-07-24,noblech01,Chuck Noble,1931-07-24
77723,Paul Noel,1924-08-17,noelpa01,Paul Noel,1924-08-17
77724,Jim Nolan,1927-06-09,nolanji01,Jim Nolan,1927-06-09
77725,Paul Nolen,1929-09-03,nolenpa01,Paul Nolen,1929-09-03
77727,Robert Nordmann,1939-12-11,nordmbe01,Bevo Nordmann,1939-12-11
77728,Johnny Norlander,1921-03-05,norlajo01,Johnny Norlander,1921-03-05
77729,Connie Norman,1953-09-24,normaco01,Connie Norman,1953-09-24
77731,Audie Norris,1960-12-18,norriau01,Audie Norris,1960-12-18
77732,Sylvester Norris,1957-02-18,norrisy01,Sylvester Norris,1957-02-18
77733,Willie Norwood,1947-08-08,norwowi01,Willie Norwood,1947-08-08
77734,George Nostrand,1924-01-25,nostrge01,George Nostrand,1924-01-25
77735,Stan Noszka,1920-09-19,noszkst01,Stan Noszka,
77736,Mike Novak,1915-04-23,novakmi01,Mike Novak,1915-04-23
77737,Mel Nowell,1939-12-27,nowelme01,Mel Nowell,1939-12-27
77738,Dennis Nutt,1963-03-25,nuttde01,Dennis Nutt,1963-03-25
77742,John O'Boyle,1928-03-07,oboyljo01,John O'Boyle,1928-03-07
77743,Buckshot O'Brien,1928-04-08,obriera01,Ralph O'Brien,1928-04-08
77744,Bob O'Brien,1927-01-26,obriebo01,Bob O'Brien,
77745,Dermie O'Connell,1928-04-13,oconnde01,Dermie O'Connell,1928-04-13
77746,Andy O'Donnell,1925-03-10,odonnan01,Andy O'Donnell,1925-03-10
77747,Carlos Ogden,1946-12-29,ogdenbu01,Bud Ogden,1946-12-29
77748,Ralph Ogden,1948-01-25,ogdenra01,Ralph Ogden,1948-01-25
77750,Francis O'Grady,1920-01-19,ogradbu01,Buddy O'Grady,
77751,Don Ohl,1936-04-18,ohldo01,Don Ohl,1936-04-18
77752,Dick O'Keefe,1923-09-29,okeefdi01,Dick O'Keefe,1923-09-29
77753,Tommy O'Keefe,1928-06-03,okeefto01,Tommy O'Keefe,1928-06-03
77754,Mike O'Koren,1958-02-07,okoremi01,Mike O'Koren,1958-02-07
77756,Mark Olberding,1956-04-21,olberma01,Mark Olberding,1956-04-21
77757,Jawann Oldham,1957-07-04,oldhaja01,Jawann Oldham,1957-07-04
77758,Johnny Oldham,1923-06-22,oldhajo01,John Oldham,1923-06-22
77759,Frank Oleynick,1955-02-20,oleynfr01,Frank Oleynick,1955-02-20
77760,John Olive,1955-03-01,olivejo01,John Olive,1955-03-01
77764,Gene Ollrich,1922-06-30,ollrige01,Gene Ollrich,1922-06-30
77765,Enoch Olsen,1940-07-25,olsenbu01,Bud Olsen,1940-07-25
77766,Grady O'Malley,1948-04-25,omallgr01,Grady O'Malley,1948-04-25
77767,Mike O'Neill,,oneilmi01,Mike O'Neill,
77768,Barry Orms,1946-05-01,ormsba01,Barry Orms,1946-05-01
77769,Johnny Orr,1927-06-10,orrjo01,Johnny Orr,1927-06-10
77770,Louis Orr,1958-05-07,orrlo01,Louis Orr,1958-05-07
77771,Jose Ortiz,1963-10-25,ortizjo01,Jose Ortiz,1963-10-25
77772,Chuck Osborne,1939-01-21,osborch01,Chuck Osborne,1939-01-21
77773,Kevin O'Shea,1925-07-10,osheake01,Kevin O'Shea,1925-07-10
77774,Garland O'Shields,1921-05-23,oshiega01,Garland O'Shields,
77775,Wally Osterkorn,1928-07-06,osterwa01,Wally Osterkorn,1928-07-06
77776,Dan O'Sullivan,1968-03-03,osullda01,Dan O'Sullivan,1968-03-03
77777,Matt Othick,1969-03-16,othicma01,Matt Othick,1969-03-16
77778,Don Otten,1921-04-18,ottendo01,Don Otten,1921-04-18
77779,Mac Otten,1925-12-16,ottenma01,Mac Otten,1925-12-16
77780,Claude Overton,1927-12-16,overtcl01,Claude Overton,1927-12-16
77782,Eddie Owens,1953-12-26,owensed01,Eddie Owens,1953-12-26
77783,James Owens,1925-09-02,owensre01,Red Owens,1925-09-02
77784,Jim Owens,1950-05-01,owensji01,Jim Owens,1950-05-01
77785,Keith Owens,1969-05-31,owenske01,Keith Owens,1969-05-31
77786,Tom Owens,1949-06-28,owensto01,Tom Owens,1949-06-28
77788,Joe Pace,1953-12-18,pacejo01,Joe Pace,1953-12-18
77789,Gerald Paddio,1965-04-21,paddige01,Gerald Paddio,1965-04-21
77790,Fred Paine,1925-12-07,painefr01,Fred Paine,
77791,Togo Palazzi,1932-08-08,palazto01,Togo Palazzi,1932-08-08
77792,Jim Palmer,1933-06-08,palmeji01,Jim Palmer,1933-06-08
77793,John Palmer,1921-09-14,palmebu01,Bud Palmer,
77794,Walter Palmer,1968-10-23,palmewa01,Walter Palmer,1968-10-23
77797,Estes Parham,1921-12-27,parhaea01,Easy Parham,1921-12-27
77799,Medford Park,1933-04-11,parkme01,Med Park,1933-04-11
77800,Sonny Parker,1955-03-22,parkeso01,Sonny Parker,1955-03-22
77801,Jack Parkinson,1924-03-04,parkija01,Jack Parkinson,1924-03-04
77802,Jack Parr,1936-03-13,parrja01,Jack Parr,1936-03-13
77803,Doyle Parrack,1921-12-06,parrado01,Doyle Parrack,
77804,Charlie Parsley,1925-10-13,parslch01,Charlie Parsley,1925-10-13
77806,Marty Passaglia,1919-04-22,passama01,Marty Passaglia,
77807,George A. Pastushok,1905-04-06,pastuge01,George Pastushok,
77808,Myles Patrick,1954-11-19,patrimy01,Myles Patrick,1954-11-19
77809,Stan Patrick,1922-05-05,patrist01,Stan Patrick,1922-05-05
77811,George Patterson,1939-11-26,pattege01,George Patterson,1939-11-26
77812,Steve Patterson,1948-06-24,pattest01,Steve Patterson,1948-06-24
77813,Tommy Patterson,1948-10-15,patteto01,Tom Patterson,1948-10-15
77814,Worthy Patterson,1931-06-17,pattewo01,Worthy Patterson,1931-06-17
77815,Charlie Paulk,1946-06-14,paulkch01,Charlie Paulk,1946-06-14
77816,Jerry Paulson,1935-07-21,paulsje01,Jerry Paulson,1935-07-21
77817,Billy Paultz,1948-07-30,paultbi01,Billy Paultz,1948-07-30
77818,Jim Paxson,1932-12-19,paxsoji01,Jim Paxson,1932-12-19
77819,Jim Paxson,1957-07-09,paxsoji02,Jim Paxson,1957-07-09
77820,John Paxson,1960-09-29,paxsojo01,John Paxson,1960-09-29
77821,Johnny Payak,1926-11-20,payakjo01,Johnny Payak,1926-11-20
77822,Kenny Payne,1966-11-25,payneke01,Kenny Payne,1966-11-25
77823,Tom Payne,1950-11-19,payneto01,Tom Payne,1950-11-19
77824,Mel Payton,1926-07-16,paytome01,Mel Payton,1926-07-16
77825,George Pearcy,1919-07-02,pearcge01,George Pearcy,
77826,Henry Pearcy,1922-07-21,pearche01,Henry Pearcy,
77827,Wiley Peck,1957-09-15,peckwi01,Wiley Peck,1957-09-15
77828,Jake Pelkington,1916-01-03,pelkija01,Jake Pelkington,
77829,Sam Pellom,1951-10-02,pellosa01,Sam Pellom,1951-10-02
77834,Warren Perkins,1922-02-02,perkiwa01,Warren Perkins,1922-02-02
77835,Curtis Perry,1948-09-13,perrycu01,Curtis Perry,1948-09-13
77839,Jim Petersen,1962-02-22,peterji01,Jim Petersen,1962-02-22
77840,Loy Petersen,1945-07-26,peterlo01,Loy Petersen,1945-07-26
77841,Ed Peterson,1924-06-27,petered01,Ed Peterson,1924-06-27
77842,Mel Peterson,1938-03-23,peterme01,Mel Peterson,1938-03-23
77843,Bob Peterson,1932-01-25,peterbo01,Bob Peterson,1932-01-25
77844,Geoff Petrie,1948-04-17,petrige01,Geoff Petrie,1948-04-17
77845,Drazen Petrovic,1964-10-22,petrodr01,Draen Petrovic,1964-10-22
77846,Richard Petruska,1969-01-25,petruri01,Richard Petruka,1969-01-25
77847,Bob Pettit,1932-12-12,pettibo01,Bob Pettit,1932-12-12
77848,Roger Phegley,1956-10-16,pheglro01,Roger Phegley,1956-10-16
77849,Jim Phelan,1929-03-19,phelaja02,James Phelan,1929-03-19
77850,Jack Phelan,1925-11-06,phelaja01,Jack Phelan,1925-11-06
77852,Mike Phelps,1961-10-03,phelpmi01,Michael Phelps,1961-10-03
77853,Andy Phillip,1922-03-07,phillan01,Andy Phillip,1922-03-07
77854,Eddie Phillips,1961-09-29,philled01,Eddie Phillips,1961-09-29
77855,Gary Phillips,1939-12-07,phillga01,Gary Phillips,1939-12-07
77858,Stan Pietkiewicz,1956-07-14,pietkst01,Stan Pietkiewicz,1956-07-14
77859,John Pilch,1925-07-11,pilchjo01,John Pilch,1925-07-11
77861,John Pinone,1961-02-19,pinonjo01,John Pinone,1961-02-19
77862,Dave Piontek,1934-08-27,piontda01,Dave Piontek,1934-08-27
77863,Tom Piotrowski,1960-10-17,piotrto01,Tom Piotrowski,1960-10-17
77864,Charlie Pittman,1958-03-23,pittmch01,Charles Pittman,1958-03-23
77865,Gary Plummer,1962-02-21,plummga01,Gary Plummer,1962-02-21
77866,Dwayne Polee,1963-03-02,poleedw01,Dwayne Polee,1963-03-02
77867,Jim Pollard,1922-07-09,pollaji01,Jim Pollard,1922-07-09
77868,Ralph Polson,1929-10-26,polsora01,Ralph Polson,1929-10-26
77869,Cliff Pondexter,1954-09-15,pondecl01,Cliff Pondexter,1954-09-15
77870,David Pope,1962-04-15,popeda01,David Pope,1962-04-15
77872,Dave Popson,1964-05-17,popsoda01,Dave Popson,1964-05-17
77873,Ben Poquette,1955-05-07,poquebe01,Ben Poquette,1955-05-07
77875,Howard Porter,1948-08-31,porteho01,Howard Porter,1948-08-31
77876,Kevin Porter,1950-04-17,porteke01,Kevin Porter,1950-04-17
77878,Bob Portman,1947-03-22,portmbo01,Bob Portman,1947-03-22
77879,Paul Pressey,1958-12-24,presspa01,Paul Pressey,1958-12-24
77880,Dominic Pressley,1964-05-30,pressdo01,Dominic Pressley,1964-05-30
77881,Harold Pressley,1963-07-14,pressha01,Harold Pressley,1963-07-14
77882,Tony Price,1957-01-05,priceto01,Tony Price,1957-01-05
77883,Jim Price,1949-11-27,priceji01,Jim Price,1949-11-27
77884,Mike Price,1948-09-11,pricemi01,Mike Price,1948-09-11
77886,Bob Priddy,1930-03-24,priddbo01,Bob Priddy,1930-03-24
77887,John Pritchard,1927-01-23,pritcjo01,John Pritchard,1927-01-23
77888,Les Pugh,1922-09-18,pughle01,Les Pugh,1922-09-18
77889,Roy Pugh,1923-03-21,pughro01,Roy Pugh,
77890,Anthony Pullard,1966-06-23,pullaan01,Anthony Pullard,1966-06-23
77891,Don Putman,1922-11-13,putnado01,Don Putman,1922-11-13
77892,Bob Quick,1946-03-05,quickbo01,Bob Quick,1946-03-05
77893,Brian Quinnett,1966-05-30,quinnbr01,Brian Quinnett,1966-05-30
77894,Luke Rackley,1946-06-11,rackllu01,Luther Rackley,1946-06-11
77895,Howie Rader,1921-03-29,raderho01,Howie Rader,
77896,Mark Radford,1959-07-05,radfoma01,Mark Radford,1959-07-05
77897,Wayne Radford,1956-05-29,radfowa01,Wayne Radford,1956-05-29
77899,Frank Radovich,1938-03-03,radovfr01,Frank Radovich,1938-03-03
77900,Moe Radovich,1929-05-05,radovmo01,Moe Radovich,1929-05-05
77901,Ray Radziszewski,1935-03-01,radzira01,Ray Radziszewski,1935-03-01
77902,Ray Ragelis,1928-12-10,ragelra01,Ray Ragelis,1928-12-10
77903,Sherwin Raiken,1928-10-29,raikesh01,Sherwin Raiken,1928-10-29
77904,Ed Rains,1956-12-24,rainsed01,Ed Rains,1956-12-24
77905,Kurt Rambis,1958-02-25,rambiku01,Kurt Rambis,1958-02-25
77906,Cal Ramsey,1937-07-13,ramseca01,Cal Ramsey,1937-07-13
77907,Frank Ramsey,1931-07-13,ramsefr01,Frank Ramsey,1931-07-13
77908,Ray Ramsey,1921-07-18,ramsera01,Ray Ramsey,
77910,Wally Rank,1958-03-01,rankwa01,Wally Rank,1958-03-01
77911,Kelvin Ransey,1958-05-03,ranseke01,Kelvin Ransey,1958-05-03
77912,Sam Ranzino,1928-06-23,ranzisa01,Sam Ranzino,1928-06-23
77913,George Ratkovicz,1922-11-13,ratkoge01,George Ratkovicz,1922-11-13
77914,Ed Ratleff,1950-03-29,ratleed01,Ed Ratleff,1950-03-29
77915,Mike Ratliff,1951-06-07,ratlimi01,Mike Ratliff,1951-06-07
77916,Leo Rautins,1960-03-20,rautile01,Leo Rautins,1960-03-20
77917,Clifford Ray,1949-01-21,raycl01,Clifford Ray,1949-01-21
77918,Don Ray,1921-07-08,raydo01,Don Ray,1921-07-08
77919,Jim Ray,1934-01-12,rayji01,Jim Ray,1934-01-12
77920,Jamesearl Ray,1957-07-27,rayja01,James Ray,1957-07-27
77921,Craig Raymond,1945-04-05,raymocr01,Craig Raymond,1945-04-05
77922,Connie Rea,1935-01-27,reaco01,Connie Rea,1935-01-27
77923,Joe Reaves,1950-05-27,reavejo01,Joe Reaves,1950-05-27
77925,Frank Reddout,,reddofr01,Frank Reddout,
77926,Marlon Redmond,1955-04-15,redmoma01,Marlon Redmond,1955-04-15
77927,Hub Reed,1936-10-04,reedhu01,Hub Reed,1936-10-04
77928,Ron Reed,1942-11-02,reedro01,Ron Reed,1942-11-02
77929,Willis Reed,1942-06-25,reedwi01,Willis Reed,1942-06-25
77932,Richie Regan,1930-11-30,reganri01,Richie Regan,1930-11-30
77933,Don Rehfeldt,1927-01-07,rehfedo01,Don Rehfeldt,1927-01-07
77935,Jim Reid,1945-08-03,reidji01,Jim Reid,1945-08-03
77936,Robert Reid,1955-08-30,reidro01,Robert Reid,1955-08-30
77937,Billy Reid,1957-09-10,reidbi01,Billy Reid,1957-09-10
77938,Joseph Reiser,1914-12-17,reisech01,Chick Reiser,1914-12-17
77939,Richard Rellford,1964-02-16,rellfri01,Richard Rellford,1964-02-16
77941,John Rennicke,1929-08-11,rennijo01,John Rennicke,1929-08-11
77942,Rob Rensberger,1921-03-07,rensbro01,Bob Rensberger,
77944,Kevin Restani,1951-12-23,restake01,Kevin Restani,1951-12-23
77945,George Reynolds,1947-11-23,reynoge01,George Reynolds,1947-11-23
77946,Jerry Reynolds,1962-12-23,reynoje01,Jerry Reynolds,1962-12-23
77947,Gene Rhodes,1927-09-02,rhodege01,Gene Rhodes,1927-09-02
77950,Clint Richardson,1956-08-07,richacl01,Clint Richardson,1956-08-07
77952,Micheal Ray Richardson,1955-04-11,richami01,Micheal Ray Richardson,1955-04-11
77954,John Richter,1937-03-12,richtjo01,John Richter,1937-03-12
77955,Dick Ricketts,1933-12-04,rickedi01,Dick Ricketts,1933-12-04
77957,Jackie Ridgle,1948-02-13,ridglja01,Jackie Ridgle,1948-02-13
77958,Mel Riebe,1916-07-12,riebeme01,Mel Riebe,
77959,Jim Riffey,1923-12-14,riffeji01,Jim Riffey,1923-12-14
77960,Tom Riker,1950-02-28,rikerto01,Tom Riker,1950-02-28
77962,Pat Riley,1945-03-20,rileypa01,Pat Riley,1945-03-20
77963,Bob Riley,1948-07-06,rileybo01,Bob Riley,1948-07-06
77964,Ron Riley,1950-11-11,rileyro01,Ron Riley,1950-11-11
77965,Rich Rinaldi,1949-08-03,rinalri01,Rich Rinaldi,1949-08-03
77966,Mike Riordan,1945-07-09,riordmi01,Mike Riordan,1945-07-09
77967,Arnie Risen,1924-10-09,risenar01,Arnie Risen,1924-10-09
77968,Goebel Ritter,1924-02-26,rittete01,Tex Ritter,1924-02-26
77969,Ramon Rivas,1966-06-03,rivasra01,Ramon Rivas,1966-06-03
77970,David Rivers,1965-01-20,riverda01,David Rivers,1965-01-20
77972,Lee Robbins,1922-02-11,robbile01,Lee Robbins,
77973,Rick Roberson,1947-07-07,roberri01,Rick Roberson,1947-07-07
77975,Anthony Roberts,1955-04-15,roberan01,Anthony Roberts,1955-04-15
77977,Joe Roberts,1936-05-18,roberjo01,Joe Roberts,1936-05-18
77978,Marv Roberts,1950-01-29,roberma01,Marv Roberts,1950-01-29
77979,Bill Roberts,1925-03-13,roberbi01,Bill Roberts,1925-03-13
77983,Tony Robertson,1956-01-01,roberto01,Tony Robertson,1956-01-01
77984,Rick Robey,1956-01-30,robeyri01,Rick Robey,1956-01-30
77986,Cliff T. Robinson,1960-03-13,robincl01,Cliff Robinson,1960-03-13
77988,Flynn Robinson,1941-04-28,robinfl01,Flynn Robinson,1941-04-28
77989,Jackie Robinson,1955-05-20,robinja01,Jackie Robinson,1955-05-20
77993,Truck Robinson,1951-10-04,robintr01,Truck Robinson,1951-10-04
77994,Oliver Robinson,1960-03-13,robinol01,Oliver Robinson,1960-03-13
77996,Wayne Robinson,1958-04-19,robinwa01,Wayne Robinson,1958-04-19
77997,Bill Robinzine,1953-01-20,robinbi01,Bill Robinzine,1953-01-20
77998,Dave Robisch,1949-12-22,robisda01,Dave Robisch,1949-12-22
77999,Red Rocha,1923-09-18,rochare01,Red Rocha,1923-09-18
78000,John Roche,1949-09-26,rochejo01,John Roche,1949-09-26
78001,Gene Rock,1921-11-04,rockge01,Gene Rock,
78002,Jack Rocker,1922-08-12,rockeja01,Jack Rocker,
78003,Guy Rodgers,1935-09-01,rodgegu01,Guy Rodgers,1935-09-01
78007,Johnny Rogers,1963-12-30,rogerjo01,Johnny Rogers,1963-12-30
78008,Marshall Rogers,1953-08-27,rogerma01,Marshall Rogers,1953-08-27
78010,Al Roges,1930-10-25,rogesal01,Al Roges,1930-10-25
78011,Ken Rohloff,1939-04-18,rohloke01,Ken Rohloff,1939-04-18
78012,Kenny Rollins,1923-09-14,rollike01,Kenny Rollins,1923-09-14
78013,Phil Rollins,1934-01-19,rolliph01,Phil Rollins,1934-01-19
78014,Tree Rollins,1955-06-16,rollitr01,Tree Rollins,1955-06-16
78015,Lorenzo Romar,1958-11-13,romarlo01,Lorenzo Romar,1958-11-13
78016,Robert Rose,1964-12-27,rosero01,Rob Rose,1964-12-27
78017,Alexander Rosenberg,1918-04-07,rosenpe01,Petey Rosenberg,
78018,Lennie Rosenbluth,1933-01-22,rosenle01,Lennie Rosenbluth,1933-01-22
78019,Hank Rosenstein,1920-06-16,rosenha01,Hank Rosenstein,
78020,Dick Rosenthal,1930-01-20,rosendi01,Dick Rosenthal,1930-01-20
78021,Doug Roth,1967-08-24,rothdo01,Doug Roth,1967-08-24
78022,Scott Roth,1963-06-03,rothsc01,Scott Roth,1963-06-03
78023,Irv Rothenberg,1921-12-31,rotheir01,Irv Rothenberg,
78024,Mickey Rottner,1919-03-23,rottnmi01,Mickey Rottner,
78025,Dan Roundfield,1953-05-26,roundda01,Dan Roundfield,1953-05-26
78026,Giff Roux,1923-06-28,rouxgi01,Giff Roux,
78027,Ron Rowan,1962-04-23,rowanro01,Ron Rowan,1962-04-23
78028,Curtis Rowe,1949-07-02,rowecu01,Curtis Rowe,1949-07-02
78029,Jim Rowinski,1961-01-04,rowinji01,Jim Rowinski,1961-01-04
78030,Derrick Rowland,1959-06-21,rowlade01,Derrick Rowland,1959-06-21
78031,Brian Rowsom,1965-10-23,rowsobr01,Brian Rowsom,1965-10-23
78033,Bob Royer,1927-10-15,royerbo01,Bob Royer,1927-10-15
78035,Delaney Rudd,1962-11-08,ruddde01,Delaney Rudd,1962-11-08
78036,John Rudd,1955-08-07,ruddjo01,John Rudd,1955-08-07
78037,John Rudometkin,1940-06-06,rudomjo01,John Rudometkin,1940-06-06
78039,Paul Ruffner,1948-10-15,ruffnpa01,Paul Ruffner,1948-10-15
78040,Joe Ruklick,1938-08-03,ruklijo01,Joe Ruklick,1938-08-03
