PlayerNBAId,PlayerNBAName,PlayerNBABirthDate,PlayerBREFId,PlayerBREFName,PlayerBREFBirthDate
1626185,Jarell Martin,1994-05-24,martija01,Jarell Martin,1994-05-24
1626187,Michael Frazier II,1994-03-08,frazimi01,Michael Frazier,
1626188,Quinn Cook,1993-03-23,cookqu01,Quinn Cook,1993-03-23
1626191,Chris McCullough,1995-02-05,mcculch01,Chris McCullough,1995-02-05
1626192,Pat Connaughton,1993-01-06,connapa01,Pat Connaughton,1993-01-06
1626195,Willy Hernangomez,1994-05-27,hernawi01,Willy Hernangomez,1994-05-27
1626196,Josh Richardson,1993-09-15,richajo01,Josh Richardson,1993-09-15
1626199,Darrun Hilliard,1993-04-13,hillida01,Darrun Hilliard,1993-04-13
1626202,Joe Young,1992-06-27,youngjo01,Joe Young,1992-06-27
1626203,Treveon Graham,1993-10-28,grahatr01,Treveon Graham,1993-10-28
1626204,Larry Nance Jr.,1993-01-01,nancela02,Larry Nance,1993-01-01
1626205,Vincent Hunter,1994-08-05,huntevi01,Vince Hunter,1994-08-05
1626208,Keifer Sykes,1993-12-30,sykeske01,Keifer Sykes,
1626209,Mario Hezonja,1995-02-25,hezonma01,Mario Hezonja,1995-02-25
1626210,Alan Williams,1993-01-28,willial03,Alan Williams,1993-01-28
1626214,Bryce Dejean-Jones,1992-08-21,dejeabr01,Bryce Dejean-Jones,1992-08-21
1626220,Royce O'Neale,1993-06-05,onealro01,Royce O'Neale,1993-06-05
1626224,Cedi Osman,1995-04-08,osmande01,Cedi Osman,1995-04-08
1626242,Luis Montero,1993-04-06,montelu01,Luis Montero,1993-04-06
1626245,Cristiano Felicio,1992-07-07,feliccr01,Cristiano Felicio,1992-07-07
1626246,Boban Marjanovic,1988-08-15,marjabo01,Boban Marjanovic,1988-08-15
1626251,Duje Dukan,1991-12-04,dukandu01,Duje Dukan,1991-12-04
1626253,Axel Toupane,1992-07-23,toupaax01,Axel Toupane,1992-07-23
1626254,Maurice Ndour,1992-06-18,ndourma01,Maurice Ndour,1992-06-18
1626257,Salah Mejri,1986-06-15,mejrisa01,Salah Mejri,1986-06-15
1626259,Malcolm Miller,1993-03-06,millema01,Malcolm Miller,1993-03-06
1626262,Coty Clarke,1992-07-04,clarkco01,Coty Clarke,1992-07-04
1626266,JJ O'Brien,1992-04-08,obriejj01,J.J. O'Brien,1992-04-08
1626273,Marcelo Huertas,1983-05-25,huertma01,Marcelo Huertas,1983-05-25
